nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT01748149,Vemurafenib in Children With Recurrent/Refractory BRAFV600E-mutant Gliomas,0.0047521060955283525,0.003513578306829932
NCT01703962,Non Invasive IDentification of Gliomas With IDH1 Mutation,0.003456561655971258,0.002068791694506631
NCT01765088,A Phase III Trial on Adjuvant Temozolomide With or Without Interferon-alpha in Newly Diagnosed High-grade Gliomas,0.0032710378481468692,0.003931102133927539
NCT01734512,PNOC 001: Phase II Study of Everolimus for Recurrent or Progressive Low-grade Gliomas in Children,0.0032605026621107852,0.004138394858305483
NCT01711580,Re-irradiation of High Grade Gliomas: a Quality of Life Study,0.0034230383418233914,0.004117943396059864
NCT01774253,Erivedge (Vismodegib) in the Treatment of Pediatric Patients With Refractory Pontine Glioma,0.0035500757025864085,0.004065743922448033
NCT02884947,Improving Surgical Outcomes in Patients With Low Grade Gliomas Using Advanced Pre- and Intra-operative MRI,0.0036500881570413375,0.003098594358427196
NCT02848794,Apatinib and Irinotecan in Treating Patients With Recurrent High-grade Glioma,0.0037757293270432204,0.0050669492274429025
NCT02829931,Hypofractionated Stereotactic Irradiation With Nivolumab in Patients With Recurrent High Grade Gliomas,0.003726152964809475,0.003795036242150783
NCT02899663,MRI Detection of Microbleeds in Glioma Patients,0.003919733093543752,0.002484761706453357
NCT02871843,Phase 1 Two Part Dose Escalation Trial of RRx-001 + Radiation + Temozolomide and RRx-001 + Temozolomide Post-RT In Newly Diagnosed Glioblastoma and Anaplastic Gliomas,0.003093882414991282,0.003980902252690516
NCT02849171,Assessing 18F-Fluorocholine (18F-FCH) PET to Distinguish True Tumor Progression From Pseudoprogression in High-grade Gliomas,0.0029464649385576246,0.0038668132404169214
NCT03102203,Differentiation of Progression From Treatment Effects in High-Grade Gliomas: A Clinical Trial With Multimodality MR Imaging,0.002998111821295676,0.0026531332064264313
NCT03102112,Noninvasively Predicting Gene Status of Glioma,0.004783784562935944,0.0032580833824425756
NCT01574092,Irinotecan in Combination With Cisplatin in Pediatric Patients With Unfavorable Prognosis Gliomas,0.003345312679884069,0.003318920797204116
NCT01517776,Cilengitide and Metronomic Temozolomide for Relapsed or Refractory High Grade Gliomas or Diffuse Intrinsic Pontine Gliomas in Children and Adolescents,0.002956489146542609,0.00438705392673753
NCT01577966,Pilot Study Effect of Sulfasalazine on Glutamate Levels by(Magnetic Resonance Spectroscopy)MRS in Patients With Glioma,0.0035758389483477,0.003627131858406156
NCT01514201,"Veliparib, Radiation Therapy, and Temozolomide in Treating Younger Patients With Newly Diagnosed Diffuse Pontine Gliomas",0.003910599302719881,0.004678349996753472
NCT01502280,Fluorescence-guided Surgery for Low- and High-grade Gliomas,0.0035363069525025936,0.0029480217761200665
NCT01502917,Convection-Enhanced Delivery of 124I-8H9 for Patients With Non-Progressive Diffuse Pontine Gliomas Previously Treated With External Beam Radiation Therapy,0.0035985738425144734,0.003663475409171368
NCT01525459,"Gene Expression, Immunological Status and Metabolome in Glioma Patients",0.0035036638718937804,0.0032263932529510322
NCT01553149,"Low-Dose or High-Dose Lenalidomide in Treating Younger Patients With Recurrent, Refractory, or Progressive Pilocytic Astrocytoma or Optic Pathway Glioma",0.0035805174338637237,0.003979207671086375
NCT01534845,Efficacy Study of Radiotherapy Alone Versus CCRT With Temozolomide in Grade III Gliomas Without 1p/19q Codeletion,0.0033071799553621023,0.003003984969434524
NCT02221986,Interdisciplinary Specialised Rehabilitation Among Glioma Patients,0.00391115002284621,0.003961975572466563
NCT02209428,A Prospective Cohort to Study the Effect of Temozolomide on IDH Mutational Low Grade Gliomas,0.003621658746111754,0.0038376060000913687
NCT02286167,Glioma Modified Atkins-based Diet in Patients With Glioblastoma,0.003924668015096407,0.0036747729878041204
NCT02279992,Pilot Study of Vardenafil and Carboplatin in Patients With Gliomas and Brain Metastases,0.0036937367737647437,0.0034170698063076712
NCT02263105,Efficacy and Tolerability of Cisplatin Plus Alternating Weekly Temozolomide in Recurrent High-grade Gliomas,0.00330142903430964,0.003595072533577952
NCT02273739,"Study of Orally Administered AG-221 in Subjects With Advanced Solid Tumors, Including Glioma, and With Angioimmunoblastic T-cell Lymphoma, With an IDH2 Mutation",0.003129568425413777,0.0031561485741478626
NCT02234297,Safety Study of BLZ-100 in Adult Subjects With Glioma Undergoing Surgery,0.004114843395096406,0.0030412521777665987
NCT00532948,A Study of Xeloda (Capecitabine) Plus Radiation Therapy in Children With Newly Diagnosed Gliomas,0.003255544086445379,0.0028246233252815366
NCT00516607,Enzastaurin and Temozolomide in Treating Patients With Primary Gliomas,0.004162009346091404,0.0039026302216648343
NCT00561691,Nimotuzumab in Children With Intrinsic Pontine Glioma,0.003604936712091191,0.0027291493846952437
NCT00526812,A Safety Study of RTA 744 in Patients With Recurrent High-Grade Gliomas,0.004068490637927214,0.004463059581013397
NCT00589706,A Phase II Study of Adjuvant Use of Anti-Epidermal Growth Factor Receptor EGFR-425 in High Grade Gliomas,0.003528975779332844,0.0040009301674803635
NCT00504660,"6-TG, Capecitabine and Celecoxib Plus TMZ or CCNU for Anaplastic Glioma Patients",0.0035026805221478143,0.004024940991406277
NCT00514397,Temozolomide and Radiation Therapy in Treating Young Patients With Pontine Glioma,0.0040791035236700775,0.004258484467951162
NCT02742883,"A Study of Atengenal and Astugenal in Diffuse, Intrinsic Pontine Glioma (DIPG)",0.0030726324212545786,0.002714379519060647
NCT02728024,Assessing Psychosocial and Supportive Care Needs in Patients With Gliomas,0.003900876032891744,0.003120408369992881
NCT02704858,Safety and Efficacy Study in Recurrent Grade IV Glioma,0.004072089972221665,0.0024757959109640826
NCT02750891,A Study of DSP-7888 in Pediatric Patients With Relapsed or Refractory High Grade Gliomas,0.003904329692025412,0.0041703091153743425
NCT02771301,Safety and Efficacy of IDH1R132H-DC Vaccine in Gliomas,0.004864806471933359,0.005895819797619926
NCT02772094,Dendritic Cell-Based Tumor Vaccine Adjuvant Immunotherapy of Human Glioblastoma Multiforme (WHO Grade IV Gliomas),0.002555073089105973,0.003603059598988302
NCT02795364,Study About the Validity of MRS-guided Resection on Prognosis High-grade Glioma Gliomas,0.0032168697530710233,0.0032844974551393697
NCT02766270,CCRT With Temozolomide Versus RT Alone in Patients With IDH Wild-type/TERT Promoter Mutation Grade II/III Gliomas,0.0037742813193023914,0.003781641461762946
NCT03048084,Seizure Treatment in Glioma,0.0037345753615407444,0.0023937841162459507
NCT03030066,Study of DS-1001b in Patients With Gene IDH1-Mutated Gliomas,0.00536935951692698,0.006457262640406712
