nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT01762813,Assessment of Clinically Related Outcomes and Biomarker Analysis for Translational Integration in Colorectal Cancer,0.00045097313579095684,0.0005717591431732476
NCT01762293,A Study of Famitinib in Patients With Advanced Colorectal Cancer,0.0008050158751740554,0.0006668192046438758
NCT01766479,Non-cathartic Computed Tomographic Colonography to Screen Subjects With a Family History of Colorectal Cancer,0.0004613316639643199,0.00036162096518444034
NCT01703910,Study of Individualized Therapies Selection for Patients With Metastatic Colorectal Carcinoma According to the Therapeutic,0.0009521599643045036,0.0008171590573461657
NCT01703390,Biomarker Directed Treatment in Metastatic Colorectal Cancer,0.0006689730096770518,0.0007688029116656507
NCT01723969,Screening Platform for Clinical Trials in Advanced Colorectal Cancer,0.0005940811710387032,0.0005478584044794759
NCT01759238,Chemoradiotherapy for Patients With Oligometastatic Colorectal Cancer,0.0009393504733814732,0.0008042866659220836
NCT01767857,A Phase III Study of Xilonix in Patients With Advanced Colorectal Cancer,0.0008052555535999648,0.0007350076405264538
NCT01776307,A Study of BBI608 in Adult Patients With Advanced Colorectal Cancer,0.0009270662154524993,0.0008071933799877282
NCT01791309,Vemurafenib and Panitumumab Combination Therapy in Patients With BRAF V600E Mutated Metastatic Colorectal Cancer,0.000758867983855034,0.0007662278764833311
NCT01736904,wXELIRI Versus FOLFIRI Regimen in the Treatment of Advanced Colorectal Cancer Patients,0.0007503800613034048,0.0009864731618901032
NCT01736813,CCR5-blockade in Metastatic Colorectal Cancer,0.0012584573285393242,0.0005542478395506639
NCT01740947,Does Administration of Antibiotics in Patients Undergoing Surgery for Colorectal Cancer Result in Less Complications and Better Prognosis?,0.0005954817200434865,0.00046771102769752076
NCT01741038,AlloStim® In-Situ Vaccine in Pre-Treated Metastatic Colorectal Cancer,0.0007020376394880365,0.0004557977234765805
NCT01700283,Developing Objective Fatigue Indicators in Colorectal Cancer Survivors.,0.0005185005051985901,0.00047040715086469573
NCT01732783,Observational Study of Vectibix With Chemotherapy for Metastatic Colorectal Cancer Patients,0.0008402156504618738,0.0006642232966744522
NCT01729923,A Trial of Maintenance ADAPT Therapy With Capecitabine and Celecoxib in Patients With Metastatic Colorectal Cancer,0.0008070535457723951,0.000895179722575428
NCT01701310,IVICA: Intravenous Iron in Colorectal Cancer Associated Anaemia,0.0005199787063842287,0.00039681685586303054
NCT01765582,A Study of Sequential and Concurrent FOLFOXIRI/Avastin (Bevacizumab) Regimens Versus FOLFOX/Avastin in First-Line in Participants With Metastatic Colorectal Cancer (STEAM),0.0006939420721128582,0.0008264456840703062
NCT01721954,FOLFOX6m Plus SIR-Spheres Microspheres vs FOLFOX6m Alone in Patients With Liver Mets From Primary Colorectal Cancer,0.0006240886354541426,0.0006863314581117825
NCT01792934,Chemotherapy and Maximal Tumor Debulking of Multi-organ Colorectal Cancer Metastases,0.00046306397727273967,0.0006434755451477607
NCT01719380,"Study of LGX818 and Cetuximab or LGX818, BYL719, and Cetuximab in BRAF Mutant Metastatic Colorectal Cancer",0.0008595013957043586,0.0013138872603925573
NCT01722162,Levocetirizine + Capecitabine + Bevacizumab for Patients With Refractory Colorectal Cancer,0.0007165966896477066,0.0007792650229276899
NCT01715441,Sorafenib in Combination With Irinotecan in Metastatic Colorectal Cancer Patients With KRAS Mutated Tumors,0.0007784443663375501,0.000827520137039191
NCT01715363,Feasibility of an Immediate Preoperative Chemotherapy Before Resection fo Colorectal Cancer,0.0005260141123906237,0.0006338274992402034
NCT01754636,Inclusion of Elderly Patients With Colorectal Cancer in Clinical Trials,0.0009458976213857788,0.0006690229614387086
NCT01763450,Bevacizumab Therapy Untreated Unresectable Liver Metastases From Colorectal Cancer,0.0005433122180272442,0.0008430870938121412
NCT01793207,Peripheral Blood DNA Methylation Markers for the Early Detection of Colorectal Carcinoma in the Egyptian Population,0.000530744394009965,0.0004785615836717967
NCT01775644,An Observational Study of Avastin (Bevacizumab) in Patients With Metastatic Colorectal Cancer (Koralle),0.0008528678296440198,0.0008146932983111665
NCT01733628,Evaluation of Hypertension as a Predictor of Efficacy Bevacizumab in Metastatic Breast Cancer and Metastatic Colorectal Cancer,0.0006191040512283447,0.0006880416727527276
NCT01726296,Adherence to Survivorship Care Guidelines in Health Care Providers for Non-Small Cell Lung Cancer and Colorectal Cancer Survivor Care,0.0005200307631622833,0.0005338391297513767
NCT01718873,Optimization of Bevacizumab Scheduling With Chemotherapy for Metastatic Colorectal Cancer,0.0006950471681991462,0.0007888585179352222
NCT01750918,BRAF/MEK/EGFR Inhibitor Combination Study in Colorectal Cancer (CRC),0.0006697485614075626,0.0007080584136738431
NCT01712347,An Observational Study of First-Line Bevacizumab (Avastin) With Fluoropyrimidine-Based Chemotherapy in Participants With Metastatic Colorectal Cancer,0.0007095914392618726,0.0007514370458638899
NCT02866344,Resection Versus Microwave Ablation for Resectable Colorectal Cancer Liver Metastases,0.0005505892010203211,0.0005434090366264176
NCT02877056,Molecular Determinants of Response to Preoperative Therapy in Patients With Locally Advanced Colorectal Cancer,0.0006628882918453188,0.0006701303627490085
NCT02817178,Study for Validation of Immunological Biomarkers in Patients With Metastatic Colorectal Cancer,0.0008447816721648033,0.0008578741091804331
NCT02863107,Young-Onset Microsatellite-Stable Colorectal Cancer,0.0008998547854466865,0.0008285769067267436
NCT02863172,Molecular Basis for Variations in Hereditary Colorectal Cancer Syndromes,0.0005192416172065125,0.00038647168155696244
NCT02891538,Chemopreventive Effects of Epigallocatechin Gallate (EGCG) in Colorectal Cancer (CRC) Patients,0.000747589024215815,0.0005962289266871355
