nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT02280785,To Assess the Efficacy of Brentuximab Vedotin for Relapsed/Refractory CD30-positive Non-Hodgkin Lymphomas Other Than Anaplastic Large Cell Lymphoma,0.043092742667614425,0.04789585921330217
NCT02729961,Ceritinib With Brentuximab Vedotin in Treating Patients With ALK-Positive Anaplastic Large Cell Lymphoma,0.045162301066776794,0.04880965771951872
NCT00298467,MDX-060 in Patients With Relapsed or Refractory Classic Systemic or Primary Cutaneous Anaplastic Large Cell Lymphoma,0.04924862079333991,0.04563012171100346
NCT01366170,Biomarker Expression in Samples From Young Patients With Anaplastic Large Cell Lymphoma,0.04118210573377499,0.04427375854846434
NCT00866047,A Phase 2 Open Label Trial of Brentuximab Vedotin (SGN-35) for Systemic Anaplastic Large Cell Lymphoma,0.04762259210477049,0.04308190271382094
NCT01657331,Brentuximab Vedotin and Bendamustine for the Treatment of Hodgkin Lymphoma and Anaplastic Large Cell Lymphoma (ALCL),0.041256082571510845,0.04579715206333136
NCT01606878,Crizotinib and Combination Chemotherapy in Treating Younger Patients With Relapsed or Refractory Solid Tumors or Anaplastic Large Cell Lymphoma,0.0514004674056095,0.05466704787766012
NCT02487316,A Study of Treatment ALK(+) Systemic Anaplastic Large Cell Lymphoma With Crizotinib,0.041536129745142855,0.05632249796368245
NCT02139592,"Brentuximab Vedotin (Recombinant) for IV Infusion - Special Drug Use Surveillance (All-case Surveillance) ""Relapsed or Refractory CD30+ Hodgkin's Lymphoma or Anaplastic Large Cell Lymphoma""",0.04544410286754678,0.0428933924868479
NCT00939770,Crizotinib in Treating Young Patients With Relapsed or Refractory Solid Tumors or Anaplastic Large Cell Lymphoma,0.04823634198628366,0.046524305384489276
NCT00006455,Combination Chemotherapy in Treating Children With Anaplastic Large Cell Lymphoma,0.057828687175362034,0.043925114927282106
NCT00099255,Study of SGN-30 (Anti-CD30 mAb) in Patients With Primary Cutaneous Anaplastic Large Cell Lymphoma,0.047611849902835894,0.03997007917368353
NCT00059839,Comparison of Two Combination Chemotherapy Regimens With Either Vincristine or Vinblastine in Treating Patients With Advanced Anaplastic Large Cell Lymphoma,0.04097238203901903,0.039917259655484934
NCT01492088,Study of Brentuximab Vedotin (SGN-35) in Pediatric Participants With Relapsed or Refractory Systemic Anaplastic Large-Cell Lymphoma or Hodgkin Lymphoma,0.05192362230505304,0.050040813165449054
NCT02902874,Study of the Biological Mechanisms Associated With the Immunogenicity in Anaplastic Large Cell Lymphoma ( ALCL ) ALK +,0.03749102062296623,0.04373276566254214
NCT02939014,Brentuximab Vedotin in Chinese Participants With Relapsed/Refractory CD30-Positive Hodgkin Lymphoma (HL) or Systemic Anaplastic Large Cell Lymphoma (sALCL),0.051972017342123006,0.05713421350298614
NCT00606645,Safety Study of XmAb®2513 to Treat Hodgkin Lymphoma or Anaplastic Large Cell Lymphoma,0.050363371028130974,0.04496107723180196
NCT00365274,SGN-30 and Combination Chemotherapy in Treating Patients With Newly Diagnosed Anaplastic Large Cell Lymphoma,0.04721531230420638,0.04161414230502367
NCT01950364,A Phase 1 Study in Patients With Relapsed or Refractory Hodgkin Lymphoma or Systemic Anaplastic Large Cell Lymphoma,0.0508387697255889,0.0530905053149767
NCT01909934,Study of Brentuximab Vedotin in Patients With Relapsed or Refractory Systemic Anaplastic Large Cell Lymphoma,0.05811230314926303,0.05606124764799962
NCT01979536,Brentuximab Vedotin or Crizotinib and Combination Chemotherapy in Treating Patients With Newly Diagnosed Stage II-IV Anaplastic Large Cell Lymphoma,0.05148917746308102,0.05365708573064972
